127.0.0.1 - - [16/Mar/2024:11:35:25 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [16/Mar/2024:12:00:08 +0530] "GET /OnlineMobileShoppingSystem/productImages/moto%20g34.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2024:12:00:08 +0530] "GET /OnlineMobileShoppingSystem/productImages/moto%20g24.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2024:12:00:46 +0530] "GET /OnlineMobileShoppingSystem/index.jsp?category=0 HTTP/1.1" 200 20844
0:0:0:0:0:0:0:1 - - [16/Mar/2024:12:01:10 +0530] "GET /OnlineMobileShoppingSystem/index.jsp?category=0 HTTP/1.1" 200 20844
0:0:0:0:0:0:0:1 - - [16/Mar/2024:12:01:41 +0530] "GET /OnlineMobileShoppingSystem/index.jsp?category=0 HTTP/1.1" 200 20843
0:0:0:0:0:0:0:1 - - [16/Mar/2024:12:06:13 +0530] "GET /OnlineMobileShoppingSystem/index.jsp?category=0 HTTP/1.1" 200 20838
0:0:0:0:0:0:0:1 - - [16/Mar/2024:12:06:13 +0530] "GET /OnlineMobileShoppingSystem/productImages/moto%20g34.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2024:12:06:13 +0530] "GET /OnlineMobileShoppingSystem/productImages/moto%20g24.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2024:12:06:38 +0530] "GET /OnlineMobileShoppingSystem/index.jsp?category=0 HTTP/1.1" 200 20838
0:0:0:0:0:0:0:1 - - [16/Mar/2024:12:06:48 +0530] "GET /OnlineMobileShoppingSystem/index.jsp?category=0 HTTP/1.1" 200 20838
0:0:0:0:0:0:0:1 - - [16/Mar/2024:12:06:50 +0530] "GET /OnlineMobileShoppingSystem/index.jsp?category=0 HTTP/1.1" 200 20838
0:0:0:0:0:0:0:1 - - [16/Mar/2024:12:07:36 +0530] "GET /OnlineMobileShoppingSystem/index.jsp?category=0 HTTP/1.1" 200 20838
0:0:0:0:0:0:0:1 - - [16/Mar/2024:12:08:05 +0530] "GET /OnlineMobileShoppingSystem/index.jsp?category=0 HTTP/1.1" 200 20838
0:0:0:0:0:0:0:1 - - [16/Mar/2024:12:08:53 +0530] "GET /OnlineMobileShoppingSystem/index.jsp?category=0 HTTP/1.1" 200 20837
0:0:0:0:0:0:0:1 - - [16/Mar/2024:12:11:47 +0530] "GET /OnlineMobileShoppingSystem/index.jsp?category=0 HTTP/1.1" 200 20915
0:0:0:0:0:0:0:1 - - [16/Mar/2024:12:11:47 +0530] "GET /OnlineMobileShoppingSystem/productImages/moto%20g34.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2024:12:11:47 +0530] "GET /OnlineMobileShoppingSystem/productImages/moto%20g24.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2024:12:12:07 +0530] "GET /OnlineMobileShoppingSystem/index.jsp?category=0 HTTP/1.1" 200 20915
0:0:0:0:0:0:0:1 - - [16/Mar/2024:12:12:22 +0530] "GET /OnlineMobileShoppingSystem/index.jsp?category=0 HTTP/1.1" 200 20880
0:0:0:0:0:0:0:1 - - [16/Mar/2024:12:12:54 +0530] "GET /OnlineMobileShoppingSystem/index.jsp?category=0 HTTP/1.1" 200 20840
0:0:0:0:0:0:0:1 - - [16/Mar/2024:12:13:14 +0530] "GET /OnlineMobileShoppingSystem/index.jsp?category=0 HTTP/1.1" 200 20836
0:0:0:0:0:0:0:1 - - [16/Mar/2024:12:13:48 +0530] "GET /OnlineMobileShoppingSystem/index.jsp?category=0 HTTP/1.1" 200 20838
0:0:0:0:0:0:0:1 - - [16/Mar/2024:12:14:25 +0530] "GET /OnlineMobileShoppingSystem/index.jsp?category=0 HTTP/1.1" 200 20845
0:0:0:0:0:0:0:1 - - [16/Mar/2024:12:14:39 +0530] "GET /OnlineMobileShoppingSystem/index.jsp?category=0 HTTP/1.1" 200 20845
0:0:0:0:0:0:0:1 - - [16/Mar/2024:12:14:41 +0530] "GET /OnlineMobileShoppingSystem/index.jsp?category=0 HTTP/1.1" 200 20845
0:0:0:0:0:0:0:1 - - [16/Mar/2024:12:14:51 +0530] "GET /OnlineMobileShoppingSystem/index.jsp?category=0 HTTP/1.1" 200 20846
0:0:0:0:0:0:0:1 - - [16/Mar/2024:12:14:52 +0530] "GET /OnlineMobileShoppingSystem/index.jsp?category=0 HTTP/1.1" 200 20846
0:0:0:0:0:0:0:1 - - [16/Mar/2024:12:14:53 +0530] "GET /OnlineMobileShoppingSystem/index.jsp?category=0 HTTP/1.1" 200 20846
0:0:0:0:0:0:0:1 - - [16/Mar/2024:12:14:53 +0530] "GET /OnlineMobileShoppingSystem/index.jsp?category=0 HTTP/1.1" 200 20846
0:0:0:0:0:0:0:1 - - [16/Mar/2024:12:14:53 +0530] "GET /OnlineMobileShoppingSystem/index.jsp?category=0 HTTP/1.1" 200 20846
0:0:0:0:0:0:0:1 - - [16/Mar/2024:12:14:54 +0530] "GET /OnlineMobileShoppingSystem/index.jsp?category=0 HTTP/1.1" 200 20846
0:0:0:0:0:0:0:1 - - [16/Mar/2024:12:15:25 +0530] "GET /OnlineMobileShoppingSystem/index.jsp?category=0 HTTP/1.1" 200 20838
0:0:0:0:0:0:0:1 - - [16/Mar/2024:12:15:25 +0530] "GET /OnlineMobileShoppingSystem/productImages/moto%20g34.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2024:12:15:25 +0530] "GET /OnlineMobileShoppingSystem/productImages/moto%20g24.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2024:12:16:29 +0530] "GET /OnlineMobileShoppingSystem/index.jsp?category=0 HTTP/1.1" 200 20838
0:0:0:0:0:0:0:1 - - [16/Mar/2024:12:16:45 +0530] "GET /OnlineMobileShoppingSystem/index.jsp?category=0 HTTP/1.1" 200 20838
0:0:0:0:0:0:0:1 - - [16/Mar/2024:12:16:47 +0530] "GET /OnlineMobileShoppingSystem/index.jsp?category=0 HTTP/1.1" 200 20838
0:0:0:0:0:0:0:1 - - [16/Mar/2024:12:16:47 +0530] "GET /OnlineMobileShoppingSystem/index.jsp?category=0 HTTP/1.1" 200 20838
0:0:0:0:0:0:0:1 - - [16/Mar/2024:12:17:38 +0530] "GET /OnlineMobileShoppingSystem/index.jsp?category=0 HTTP/1.1" 200 20834
0:0:0:0:0:0:0:1 - - [16/Mar/2024:12:18:19 +0530] "GET /OnlineMobileShoppingSystem/index.jsp?category=0 HTTP/1.1" 200 20840
0:0:0:0:0:0:0:1 - - [16/Mar/2024:12:23:47 +0530] "GET /OnlineMobileShoppingSystem/index.jsp?category=0 HTTP/1.1" 200 20837
